,id_mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_armas,barrio,comuna,latitud,longitud,victimas
1048,LC-2020-0076710,2020,Febrero,Miércoles,05/02/2020,14,Lesiones,Siniestro Vial,,Barracas,4.0,-34.655589,-58.374613,
1049,LC-2020-0076724,2020,Febrero,Miércoles,05/02/2020,12,Lesiones,Siniestro Vial,,Liniers,9.0,-34.64597,-58.528659,
1050,LC-2020-0076833,2020,Febrero,Domingo,02/02/2020,19,Lesiones,Siniestro Vial,,San Cristóbal,3.0,-34.627261,-58.392166,
1051,LC-2020-0076958,2020,Febrero,Miércoles,05/02/2020,14,Lesiones,Siniestro Vial,,Versalles,10.0,-34.633822,-58.521079,
1052,LC-2020-0076977,2020,Febrero,Miércoles,05/02/2020,13,Lesiones,Siniestro Vial,,Parque Chacabuco,7.0,-34.63315,-58.445096,
1053,LC-2020-0077059,2020,Febrero,Miércoles,05/02/2020,17,Lesiones,Siniestro Vial,,Almagro,5.0,-34.608629,-58.424681,
1054,LC-2020-0077135,2020,Febrero,Miércoles,05/02/2020,16,Lesiones,Siniestro Vial,,Villa Gral. Mitre,11.0,-34.611893,-58.476842,
1055,LC-2020-0077298,2020,Febrero,Miércoles,05/02/2020,18,Lesiones,Siniestro Vial,,Recoleta,2.0,-34.586333,-58.395129,
1056,LC-2020-0077341,2020,Febrero,Miércoles,05/02/2020,13,Lesiones,Siniestro Vial,,Nueva Pompeya,4.0,-34.641045,-58.42058,
1057,LC-2020-0077348,2020,Febrero,Miércoles,05/02/2020,17,Lesiones,Siniestro Vial,,San Nicolás,1.0,-34.604606,-58.370565,
1058,LC-2020-0077359,2020,Febrero,Miércoles,05/02/2020,18,Lesiones,Siniestro Vial,,Colegiales,13.0,-34.574256,-58.4598,
1059,LC-2020-0077485,2020,Febrero,Miércoles,05/02/2020,18,Lesiones,Siniestro Vial,,Villa Gral. Mitre,11.0,-34.613823,-58.472253,
1060,LC-2020-0077568,2020,Febrero,Miércoles,05/02/2020,17,Lesiones,Siniestro Vial,,Barracas,4.0,-34.648449,-58.392467,
1061,LC-2020-0077790,2020,Febrero,Miércoles,05/02/2020,22,Lesiones,Siniestro Vial,,Villa Devoto,11.0,-34.589282,-58.519116,
1062,LC-2020-0077845,2020,Febrero,Miércoles,05/02/2020,21,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.59162,-58.434273,
